Adiac,k=8,k=16,k=32,k=64,k=128
KMC2,0.328138828,1.250506401,4.845840693,19.12971091,75.61982608
 , , , , , 
FordA,k=8,k=16,k=32,k=64,k=128
CKM,3.076214314,6.58508873,13.58754182,27.89877701,56.32822323
TI,3.20560956,6.662269831,13.89869452,28.35071135,56.50523448
LBF_PAA,3.736059427,7.460697412,15.13975883,30.33603621,59.88683987
TILB_PAA,3.800112486,7.625178576,15.30397701,30.70606923,60.87979865
LBF_PDD,4.58035183,8.110210419,14.28434277,25.70624399,46.29312587
TILB_PDD,4.598606825,8.224915981,14.58968854,26.31009626,47.43076897
KMC2,0.782916784,2.675844193,9.843678951,37.76489806,144.9093535
 , , , , , 
FordB,k=8,k=16,k=32,k=64,k=128
CKM,2.768083096,6.007707596,12.39987397,25.85574913,51.49190259
TI,2.814338923,6.083718061,12.70303869,26.54985142,52.41324282
LBF_PAA,3.361795664,6.783814669,13.60472322,27.89676499,54.75941396
TILB_PAA,3.417948246,6.98164916,13.86906815,28.62664032,55.52571654
LBF_PDD,3.989095926,7.315056324,13.37086701,24.95654464,45.27116585
TILB_PDD,4.100028515,7.42406106,14.01610637,25.77801967,47.24714446
KMC2,0.762140751,2.61030674,10.00040984,38.75660753,149.1999166
 , , , , , 
HandOutlines,k=8,k=16,k=32,k=64,k=128
CKM,4.794582844,10.12335348,20.77758265,42.18987203,85.57959366
TI,2.523077488,3.340349913,6.94766736,12.73014593,24.55477929
LBF_PAA,2.23941803,2.678383112,3.891639233,5.704136848,9.053824186
TILB_PAA,2.09744978,2.379616022,3.328298807,4.934033871,8.946639538
LBF_PDD,3.949203491,5.43841815,9.814245939,16.67452216,29.66050887
TILB_PDD,3.47924614,4.238563299,7.19307065,11.57362366,20.12887359
KMC2,3.059746981,12.02346683,49.04401278,195.8364162,777.017128
 , , , , , 
InsectWingbeatSound,k=8,k=16,k=32,k=64,k=128
CKM,0.720014334,1.473694563,3.131325245,6.364636183,12.84202814
TI,0.588968754,1.062907219,1.88341403,3.00906992,4.531938553
LBF_PAA,0.579518318,0.735679388,1.130746126,1.678024292,2.629067421
TILB_PAA,0.565233946,0.766263485,1.111511946,1.665199995,2.540688276
LBF_PDD,0.736596823,1.101896048,1.683442116,2.4796772,4.067775488
TILB_PDD,0.78285718,1.075502872,1.494117498,2.040292978,3.000480175
KMC2,0.391710281,1.396256924,5.101628065,19.23196602,74.91173506
 , , , , , 
ItalyPowerDemand,k=8,k=16,k=32,k=64,k=128
CKM,0.046083927,0.079021215,0.17188096,0.348171234,0.683416843
TI,0.024995804,0.062604189,0.093827963,0.168968439,0.328048944
LBF_PAA,0.045821667,0.095152378,0.171875,0.328691244,0.578197241
TILB_PAA,0.044886683,0.078136206,0.124987364,0.203640699,0.359867334
LBF_PDD,0.047873974,0.095113754,0.165731668,0.312578678,0.578369617
TILB_PDD,0.046293974,0.061469555,0.109863043,0.20312953,0.359377623
KMC2,0.094699621,0.281830072,0.790836811,2.455313683,8.60199213
 , , , , , 
LargeKitchenAppliances,k=8,k=16,k=32,k=64,k=128
CKM,0.640836,1.39108634,3.058958769,5.971243858,12.47666121
TI,0.687562943,1.459238768,3.154912233,5.956454992,11.77130151
LBF_PAA,0.765625477,1.462845325,2.721924782,4.640446663,7.570618391
TILB_PAA,0.764294241,1.454703541,2.821166992,4.91146183,8.701809168
LBF_PDD,0.969320297,1.742790937,3.060296297,5.408941984,9.154525995
TILB_PDD,1.00038147,1.789027452,3.066907406,5.606296301,9.898701191
KMC2,0.750616312,3.253077984,12.67640734,51.5014298,206.7420411
 , , , , , 
MedicalImages,k=8,k=16,k=32,k=64,k=128
CKM,0.140623331,0.313411474,0.628340244,1.266132832,2.566320181
TI,0.109367847,0.219007015,0.391394377,0.625003815,1.044070482
LBF_PAA,0.125647783,0.250719547,0.422642708,0.672324419,1.072147369
TILB_PAA,0.125333786,0.236484528,0.360081673,0.564763308,0.908525229
LBF_PDD,0.124998808,0.210565567,0.337625742,0.516551733,0.8454988
TILB_PDD,0.140960693,0.209001303,0.296875477,0.454087973,0.736406088
KMC2,0.171868563,0.563255548,2.045428753,7.722088099,30.1361835
 , , , , , 
MiddlePhalanxOutlineCorrect,k=8,k=16,k=32,k=64,k=128
CKM,0.092993736,0.203575134,0.406996727,0.829785109,1.661605835
TI,0.067005396,0.10939312,0.203124046,0.361247301,0.719903469
LBF_PAA,0.094000578,0.187707424,0.312773705,0.570682049,0.969052553
TILB_PAA,0.086086273,0.140738726,0.234383106,0.391051531,0.750467539
LBF_PDD,0.091558933,0.156356812,0.297510147,0.48454237,0.844514132
TILB_PDD,0.10938549,0.156287432,0.233129501,0.344845533,0.656923532
KMC2,0.14061451,0.485339642,1.719881773,6.353915453,24.5915606
 , , , , , 
